source,author,title,description,url,urlToImage,publishedAt,content,category,country
"{'id': None, 'name': 'Livemint'}",Jyoti Banthia,"Adani Enterprises back to short-term ASM framework by NSE, BSE | Mint - Mint",Adani Enterprises Ltd is shortlisted in short-term Additional Surveillance Measure (ASM) framework Stage-I effective from May 25,https://www.livemint.com/market/stock-market-news/adani-enterprises-back-to-short-term-asm-framework-by-nse-bse-11684981462530.html,https://www.livemint.com/lm-img/img/2023/05/25/600x338/INDIA-ADANI-3_1679098087026_1679098087026_1684983586729.jpg,2023-05-25T03:01:22Z,Shares of Adani Enterprises have been put under the short-term ASM framework from Thursday by leading bourses BSE and NSE.Adani Enterprises Ltd is shortlisted in short-term Additional Surveillance Meâ€¦ [+1673 chars],business,in
"{'id': None, 'name': 'Moneycontrol'}",Moneycontrol News,Morning Scan: All the big stories to get you started for the day - Moneycontrol,A round-up of top newspaper stories to keep you ahead of others.,https://www.moneycontrol.com/news/business/morning-scan-all-the-big-stories-to-get-you-started-for-the-day-476-10655921.html,https://images.moneycontrol.com/static-mcnews/2023/04/morning-scan-8-770x431.jpg,2023-05-25T02:41:40Z,"#1. Ground realities to determine rate action by Reserve Bank in June 
The monetary policy committee of the Reserve Bank of India will be guided by whats happening on the ground at its June meeting,â€¦ [+7100 chars]",business,in
"{'id': None, 'name': 'Moneycontrol'}",Moneycontrol News,"Nestle, ITC in last lap in race for multi-crore Capital Foods acquisition deal - Moneycontrol","The winner of the race could shell out anywhere between Rs 4,000 crore and Rs 5,000 crore in a deal to acquire the maker of Chingâ€™s Secret and Smith &amp; Jones food ingredients.",https://www.moneycontrol.com/news/business/nestle-itc-in-last-lap-for-race-for-multi-crore-capital-foods-acquisition-deal-10655701.html,https://images.moneycontrol.com/static-mcnews/2020/07/Chings-1-770x433.jpg,2023-05-25T02:28:21Z,"The two finalists leading the race to buy Mumbai-based Capital Foods are giants Nestle India Ltd,Â the Indian subsidiary of Swiss multinational Nestle SA, and ITC Ltd, reported Mint. The winner of theâ€¦ [+2609 chars]",business,in
"{'id': None, 'name': 'NDTV News'}",,Meta's 'Efficiency' Layoffs Take a Toll on Employee Productivity - NDTV,"Meta Platforms Inc. employees received news Wednesday of the final round of previously announced job cuts, which affected thousands of workers in the company's business departments.",https://www.ndtv.com/world-news/meta-job-cuts-facebook-mark-zuckerburg-metas-efficiency-layoffs-take-a-toll-on-employee-productivity-4064237,https://c.ndtvimg.com/2023-05/m24k7rio_meta-generic_625x300_25_May_23.jpg,2023-05-25T02:00:43Z,"Meta, which owns Facebook, Instagram and WhatsApp, said the layoffs were necessary to improve efficiency
Meta Platforms Inc. employees received news Wednesday of the final round of previously announâ€¦ [+3464 chars]",business,in
"{'id': None, 'name': 'Livemint'}",Jyoti Banthia,Buy or sell: Vaishali Parekh recommends buying in 3 stocks today â€” 25 May | Mint - Mint,"Sensex closed 208 points, or 0.34 per cent, lower at 61,773.78 while the Nifty closed at 18,285.40, down 63 points, or 0.34 per cent. While",https://www.livemint.com/market/stock-market-news/buy-or-sell-vaishali-parekh-recommends-buying-in-3-stocks-today-25-may-11684978678580.html,https://www.livemint.com/lm-img/img/2023/05/25/600x338/2-0-355759558-sensex2-0_1680506410389_1684979357483.jpg,2023-05-25T01:52:00Z,"Domestic market benchmarks the Sensex and the Nifty ended lower on May 24. with banking and financial heavyweights among the top losers amid weak global cues, lingering debt ceiling issues in the US.â€¦ [+2419 chars]",business,in
"{'id': None, 'name': 'Livemint'}",Livemint,"Stocks to Watch: LIC, Reliance, Nykaa, Nestle India, ITC, Hindalco | Mint - Mint","Bharat Dynamics, Zee Entertainment, Binani Industries, Emami, Indian Railway Finance, Kalyani Forge, Steel Authority of India, and Vodafone Idea will be among the stocks in focus as they will be declaring their March quarter earnings today.",https://www.livemint.com/market/stock-market-news/stocks-to-watch-lic-reliance-nykaa-nestle-india-itc-hindalco-11684974202022.html,https://www.livemint.com/lm-img/img/2023/05/25/600x338/40cfde44a33c403fb7f363284fb2f53b-40cfde44a33c403fb_1684974248680_1684974248790.jpg,2023-05-25T01:41:14Z,"Life Insurance Corporation: Largest life insurer in India, LIC posted impressive growth in the bottom line for the fourth quarter of FY23. Consolidated Q4 FY23 PAT stood at 13,190.79 crore, rising byâ€¦ [+5494 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"Stocks in news: Hindalco, Nykaa, LIC, Mahindra CIE, Vodafone Idea, Zee Entertainment - Economic Times","Hindalco Industries posted a 48% fall in its standalone net profit at Rs 832 crore for the quarter ended March. Revenue from operations during the quarter increased 5% to Rs 19,995 crore.",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-hindalco-nykaa-lic-mahindra-cie-vodafone-idea-zee-entertainment/articleshow/100482550.cms,"https://img.etimg.com/thumb/msid-100482566,width-1070,height-580,imgsize-765180,overlay-etmarkets/photo.jpg",2023-05-25T01:41:00Z,"The Nifty futures contract traded on the Singapore Exchange indicates a negative start to domestic equities. The contract was trading at 18,339, down 47 points or 0.26% from the previous close.Here'sâ€¦ [+2360 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,SGX Nifty down 50 points; here's what changed for market while you were sleeping - Economic Times,Securities in the ban period under the F&O segment include companies in which the security has crossed 95% of the market-wide position limit.,https://economictimes.indiatimes.com/markets/stocks/news/sgx-nifty-down-50-points-heres-what-changed-for-market-while-you-were-sleeping/articleshow/100482655.cms,"https://img.etimg.com/thumb/msid-100482648,width-1070,height-580,imgsize-88221,overlay-etmarkets/photo.jpg",2023-05-25T01:31:00Z,"Weakness in global markets dragged domestic indices down on Wednesday as the overhang of US debt ceiling negotiation influenced sentiments.""Domestic markets have taken pause with Nifty facing minor râ€¦ [+2559 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Bureau,Poonawalla Fincorp trumps Federal Bank in market valuation - Economic Times,"Adar Poonawalla-led Poonawalla Fincorp closed at â‚¹348.15 apiece on the BSE on Wednesday, up 0.61% from the previous close. Shares of Kochi-based Federal Bank closed at â‚¹123.85, down 1.43% from the previous close.",https://economictimes.indiatimes.com/markets/stocks/news/poonawalla-fincorp-trumps-federal-bank-in-market-valuation/articleshow/100487409.cms,"https://img.etimg.com/thumb/msid-100487487,width-1070,height-580,imgsize-60218,overlay-etmarkets/photo.jpg",2023-05-25T01:12:00Z,Mumbai: Poonawalla Fincorp's market capitalisation ended above that of private lender Federal Bank after the shares of Pune-based non-bank lender advanced for the third day on Wednesday.Adar Poonawalâ€¦ [+1572 chars],business,in
"{'id': None, 'name': 'Moneycontrol'}",Sunil Shankar Matkar,"Trade Spotlight | Your trade for Dixon Technologies, Mahindra CIE Automotive, Aegis Logistics today - Moneycontrol","Mahindra CIE Automotive was also in action, rising 4.7 percent to end at record closing high of Rs 474.3 and formed long bullish candlestick on the daily charts with huge volumes. The stock has broadly maintained higher highs higher lows formation since the eâ€¦",https://www.moneycontrol.com/news/business/markets/trade-spotlight-your-trade-for-dixon-technologies-mahindra-cie-automotive-aegis-logistics-today-10654221.html,https://images.moneycontrol.com/static-mcnews/2023/05/stocks_in_news-770x433.jpg,2023-05-25T01:02:51Z,"The market snapped three-day winning streak amid volatility and closed third of a percent lower on May 24, tracking correction in the global counterparts after US debt ceiling talks stalled. The sellâ€¦ [+3544 chars]",business,in
"{'id': None, 'name': 'Dsij.in'}",Kiran Shroff,Multibagger penny stock under Rs 15: This mid-cap company secures a major order of 300 MW from Torrent Power Limited! - Dalal Street Investment Journal,"The company has a market cap of over 12,000 crore with 3 years CAGR of 60 per cent. The company reported positive numbers in its quarterly results (Q3) where net profit skyrocketed 105.26 per cent...",https://www.dsij.in/dsijarticledetail/multibagger-penny-stock-under-rs-15-this-mid-cap-company-secures-a-major-order-of-300-mw-from-torrent-power-limited-30617,https://www.dsij.in/Portals/0/EasyDNNnews/30617/suzlon-energy-800-417-p-C-95_800x4001.jpg,2023-05-25T00:56:15Z,"The stock generated multibagger returns of over 297 per cent in just 3 years and has a PE of 6.55x and an ROE of 387.03 per cent.
The benchmark indices were trading lower at the closing bell on Wednâ€¦ [+2258 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Isha Trivedi,Gland Pharmaâ€™s poor show in FY23 has shaken investor confidence. Can it reclaim lost ground? - Economic Times,"Given the consistent disappointments on the earnings front, investors are starting to worry if there is a structural issue with the business. The management has not been transparent in its communication and also did not give any guidance on revenue growth or â€¦",https://economictimes.indiatimes.com/prime/pharma-and-healthcare/gland-pharmas-poor-show-in-fy23-has-shaken-investor-confidence-can-it-reclaim-lost-ground/primearticleshow/100483851.cms,"https://img.etimg.com/thumb/msid-100484124,width-1070,height-580,imgsize-112520/photo.jpg",2023-05-24T22:30:00Z,"SynopsisGiven the consistent disappointments on the earnings front, investors are starting to worry if there is a structural issue with the business. The management has not been transparent in its coâ€¦ [+176 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",TNN,India on Elon Musk's radar as Tesla hunts for factory site - Indiatimes.com,"India Business News: Days after a team from Tesla visited India, the companyâ€™s founder and CEO Elon Musk has indicated that India is on the electric car manufacturerâ€™s rad.",https://timesofindia.indiatimes.com/business/india-business/india-on-musks-radar-as-tesla-hunts-for-factory-site/articleshow/100484404.cms,"https://static.toiimg.com/thumb/msid-100488727,width-1070,height-580,imgsize-31328,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2023-05-24T20:36:00Z,"FD Calculator
When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing...
Calculate Now",business,in
"{'id': None, 'name': 'FXStreet'}",Ross J Burland,"Gold Price Forecast: XAU/USD bears move in and eye critical support near $1,950 - FXStreet",The Gold price is mixed around the Federal Open Market Committee minutes that showed that the board members agreed that inflation risks are still una,https://www.fxstreet.com/news/gold-price-forecast-xau-usd-bears-move-in-and-eye-critical-support-near-1-950-202305241906,https://editorial.fxstreet.com/images/Markets/Commodities/Metals/Gold/gold-nuggets-7636265_Large.jpg,2023-05-24T19:06:05Z,<ul><li>Gold price is attempting to move lower into support following FOMC minutes.</li><li>Fed minutes show officials split on support for more hikes.</li></ul>Â The Gold price is mixed around the Feâ€¦ [+2976 chars],business,in
